service_date,route,direction,stop_id,events,otp,delay_med
2025-05-11,1,inbound,4.1E+11,2,0.0,29.291666666666668
2025-05-11,1,outbound,4.1E+11,5,0.0,48.0
2025-05-11,11,inbound,4.1E+11,2,0.0,45.766666666666666
2025-05-11,11,outbound,4.1E+11,1,0.0,69.93333333333334
2025-05-11,12,inbound,4.1E+11,1,0.0,32.05
2025-05-11,12,inbound,41000010WALC,1,0.0,39.016666666666666
2025-05-11,12,outbound,4.1E+11,4,0.0,42.2
2025-05-11,18,outbound,4100009FLEDS,2,0.0,28.9
2025-05-11,22,inbound,4.1E+11,4,0.0,56.40833333333333
2025-05-11,22,outbound,4.1E+11,2,0.0,36.25833333333333
2025-05-11,30,inbound,4.1E+11,1,0.0,42.68333333333333
2025-05-11,37,inbound,3100Z264671,1,0.0,40.0
2025-05-11,37,outbound,4.1E+11,1,0.0,69.98333333333333
2025-05-11,38,inbound,4.1E+11,3,0.0,9.933333333333334
2025-05-11,38,outbound,4.1E+11,1,0.0,37.28333333333333
2025-05-11,39,inbound,4.1E+11,1,0.0,42.06666666666667
2025-05-11,39,outbound,4.1E+11,5,0.0,47.63333333333333
2025-05-11,40,inbound,41000010WALC,4,0.0,48.875
2025-05-11,40,outbound,4.1E+11,3,0.0,49.36666666666667
2025-05-11,62,inbound,4.1E+11,3,0.0,82.15
2025-05-11,62,outbound,410000003KLA,4,0.0,56.05
2025-05-11,63,outbound,410000003KLA,2,0.0,63.391666666666666
2025-05-11,63,inbound,4.1E+11,2,0.0,60.875
2025-05-11,63,outbound,4.1E+11,1,0.0,20.683333333333334
2025-05-11,63,outbound,410000003KLA,1,0.0,19.616666666666667
2025-05-11,X20,outbound,41000042SSIP,1,0.0,27.45
2025-05-11,X47,outbound,4100008ELDJS,1,0.0,44.266666666666666
2025-05-11,X78,outbound,4100008ELDHS,1,0.0,27.583333333333332
2025-05-11,X87,outbound,4100008ELDHS,1,0.0,31.85
2025-05-12,1,inbound,4.1E+11,45,0.2222222222222222,-3.6666666666666665
2025-05-12,1,inbound,41000008NC94,1,0.0,-7.15
2025-05-12,1,outbound,4.1E+11,44,0.09090909090909091,-2.8
2025-05-12,1,outbound,410000008281,1,0.0,65.31666666666666
2025-05-12,3,outbound,41000042SSIH,5,0.2,-6.266666666666667
2025-05-12,4,outbound,41000042SSIG,2,0.5,-0.7333333333333333
2025-05-12,7,inbound,41000042SSIC,3,0.0,8.183333333333334
2025-05-12,8,outbound,41000042SSIB,2,1.0,1.2583333333333333
2025-05-12,10,inbound,4.1E+11,1,1.0,-0.2833333333333333
2025-05-12,10,outbound,4.1E+11,1,0.0,-3.6333333333333333
2025-05-12,11,inbound,4.1E+11,2,0.5,-1.2000000000000002
2025-05-12,11,outbound,4.1E+11,2,0.0,-8.825
2025-05-12,12,inbound,4.1E+11,4,0.75,-0.09166666666666666
2025-05-12,12,inbound,41000010WALC,3,0.3333333333333333,-3.9
2025-05-12,12,outbound,4.1E+11,6,0.0,-2.425
2025-05-12,12,outbound,41000042SSIP,2,0.0,27.875
2025-05-12,18,inbound,4.1E+11,1,0.0,-16.3
2025-05-12,18,outbound,4.1E+11,1,1.0,1.3666666666666667
2025-05-12,18,outbound,41000042SSIL,1,0.0,13.416666666666666
2025-05-12,22,inbound,4.1E+11,9,0.0,-5.416666666666667
2025-05-12,22,outbound,4.1E+11,10,0.3,-4.65
2025-05-12,30,inbound,4.1E+11,7,0.42857142857142855,-4.066666666666666
2025-05-12,30,outbound,4.1E+11,5,0.2,2.9
2025-05-12,30,outbound,41000042SSIE,2,0.0,1.3833333333333335
2025-05-12,31,inbound,4.1E+11,4,0.25,-3.025
2025-05-12,31,outbound,4.1E+11,4,0.5,0.2916666666666667
2025-05-12,36,inbound,4.1E+11,4,0.25,5.375
